date,name,value,rank,lastValue
2020-01-10,Khruangbin,0,52,0
2020-01-10,Kristen Bell,18,5,11
2020-01-10,Novos Baianos,11,8,11
2020-01-10,OKAMOTO'S,0,44,0
2020-01-10,Oscar Peterson,1,14,1
2020-01-10,Phoenix,5,11,5
2020-01-10,Pomplamoose,0,32,0
2020-01-10,Public Enemy,0,28,0
2020-01-10,Rage Against the Machine,22,3,22
2020-01-10,Red Hot Chili Peppers,8,9,1
2020-01-10,Rina Sawayama,0,18,0
2020-01-10,Romes,0,19,0
2020-01-10,Saint Motel,0,20,0
2020-01-10,Sakanaction,0,30,0
2020-01-10,Self,0,23,0
2020-01-10,Stella Jang,0,25,0
2020-01-10,Taichi Mukai,0,27,0
2020-01-10,Tame Impala,1,12,1
2020-01-10,The Dave Brubeck Quartet,0,29,0
2020-01-10,The Fearless Flyers,0,21,0
2020-01-10,The Knocks,7,10,6
2020-01-10,The Kooks,0,22,0
2020-01-10,The Shins,19,4,19
2020-01-10,The Strokes,0,26,0
2020-01-10,UNISON SQUARE GARDEN,0,24,0
2020-01-10,Vulfpeck,1,13,1
2020-01-10,Wednesday Campanella,0,17,0
2020-01-10,Yuki Hayashi,0,16,0
2020-01-10,フレデリック,0,15,0
2020-01-10,久石譲,0,54,0
2020-01-11,Anderson .Paak,0,31,0
2020-01-11,Antônio Carlos Jobim,0,53,0
2020-01-11,Arctic Monkeys,0,34,0
2020-01-11,Babu Santana,0,35,0
2020-01-11,Baco Exu do Blues,0,36,0
2020-01-11,Castlebeat,0,37,0
2020-01-11,Chico Buarque,0,38,0
2020-01-11,Chihiro Yamanaka,0,39,0
2020-01-11,Christian McBride,0,40,0
2020-01-11,Cory Wong,34,1,34
2020-01-11,Daft Punk,0,41,0
2020-01-11,Emicida,0,42,0
2020-01-11,Fitz and the Tantrums,0,33,0
2020-01-11,Foster the People,137,0,134
2020-01-11,Gen Hoshino,0,43,0
2020-01-11,Guru Woof Música Relaxante Para Crianças,0,45,0
2020-01-11,Hermeto Pascoal,0,46,0
2020-01-11,Hiromi,26,3,26
2020-01-11,J Rabbit,0,47,0
2020-01-11,Jamiroquai,13,8,13
2020-01-11,Jimi Hendrix,0,48,0
2020-01-11,Jimmy Ponder,0,49,0
2020-01-11,John Mayer,12,9,12
2020-01-11,KT Tunstall,0,50,0
2020-01-11,Kenshi Yonezu,0,51,0
2020-01-11,Khruangbin,0,52,0
2020-01-11,Kristen Bell,19,5,18
2020-01-11,Novos Baianos,11,10,11
2020-01-11,OKAMOTO'S,0,44,0
2020-01-11,Oscar Peterson,1,14,1
2020-01-11,Phoenix,5,12,5
2020-01-11,Pomplamoose,0,32,0
2020-01-11,Public Enemy,0,29,0
2020-01-11,Rage Against the Machine,22,4,22
2020-01-11,Red Hot Chili Peppers,29,2,8
2020-01-11,Rina Sawayama,0,25,0
2020-01-11,Romes,0,24,0
2020-01-11,Saint Motel,0,23,0
2020-01-11,Sakanaction,14,7,0
2020-01-11,Self,0,20,0
2020-01-11,Stella Jang,0,18,0
2020-01-11,Taichi Mukai,0,16,0
2020-01-11,Tame Impala,1,15,1
2020-01-11,The Dave Brubeck Quartet,0,22,0
2020-01-11,The Fearless Flyers,0,30,0
2020-01-11,The Knocks,7,11,7
2020-01-11,The Kooks,0,17,0
2020-01-11,The Shins,19,6,19
2020-01-11,The Strokes,0,19,0
2020-01-11,UNISON SQUARE GARDEN,0,21,0
2020-01-11,Vulfpeck,1,13,1
2020-01-11,Wednesday Campanella,0,26,0
2020-01-11,Yuki Hayashi,0,27,0
2020-01-11,フレデリック,0,28,0
2020-01-11,久石譲,0,54,0
2020-01-12,Anderson .Paak,0,31,0
2020-01-12,Antônio Carlos Jobim,0,53,0
2020-01-12,Arctic Monkeys,0,34,0
2020-01-12,Babu Santana,0,35,0
2020-01-12,Baco Exu do Blues,0,36,0
2020-01-12,Castlebeat,0,37,0
2020-01-12,Chico Buarque,0,38,0
2020-01-12,Chihiro Yamanaka,0,39,0
2020-01-12,Christian McBride,0,40,0
2020-01-12,Cory Wong,34,1,34
2020-01-12,Daft Punk,0,41,0
2020-01-12,Emicida,0,42,0
2020-01-12,Fitz and the Tantrums,0,33,0
2020-01-12,Foster the People,149,0,137
2020-01-12,Gen Hoshino,0,43,0
2020-01-12,Guru Woof Música Relaxante Para Crianças,0,45,0
2020-01-12,Hermeto Pascoal,0,46,0
2020-01-12,Hiromi,26,3,26
2020-01-12,J Rabbit,0,47,0
2020-01-12,Jamiroquai,13,8,13
2020-01-12,Jimi Hendrix,0,48,0
2020-01-12,Jimmy Ponder,0,49,0
2020-01-12,John Mayer,12,9,12
2020-01-12,KT Tunstall,0,50,0
2020-01-12,Kenshi Yonezu,0,51,0
2020-01-12,Khruangbin,0,52,0
2020-01-12,Kristen Bell,19,5,19
2020-01-12,Novos Baianos,11,10,11
2020-01-12,OKAMOTO'S,0,44,0
2020-01-12,Oscar Peterson,1,14,1
2020-01-12,Phoenix,5,12,5
2020-01-12,Pomplamoose,0,32,0
2020-01-12,Public Enemy,0,29,0
2020-01-12,Rage Against the Machine,22,4,22
2020-01-12,Red Hot Chili Peppers,29,2,29
2020-01-12,Rina Sawayama,0,25,0
2020-01-12,Romes,0,24,0
2020-01-12,Saint Motel,0,23,0
2020-01-12,Sakanaction,14,7,14
2020-01-12,Self,0,20,0
2020-01-12,Stella Jang,0,18,0
2020-01-12,Taichi Mukai,0,16,0
2020-01-12,Tame Impala,1,15,1
